names,url,pkgmans,total_pkgs
"[{""name"":security/pam_ssh_agent_auth,""pkgman"":freebsd12},{""name"":security/pam_ssh_agent_auth,""pkgman"":netbsd9}]",https://github.com/jbeverly/pam_ssh_agent_auth,"[freebsd12,netbsd9]",2
"[{""name"":net/shmux,""pkgman"":freebsd12},{""name"":sysutils/shmux,""pkgman"":netbsd9}]",https://github.com/shmux/shmux,"[freebsd12,netbsd9]",2
"[{""name"":net/sqtop,""pkgman"":freebsd12},{""name"":www/sqtop,""pkgman"":openbsd69},{""name"":www/sqtop,""pkgman"":netbsd9}]",https://github.com/paleg/sqtop,"[freebsd12,openbsd69,netbsd9]",3
"[{""name"":net/tcpslice,""pkgman"":freebsd12},{""name"":net/tcpslice,""pkgman"":openbsd69}]",https://github.com/the-tcpdump-group/tcpslice,"[freebsd12,openbsd69]",2
"[{""name"":net/tcptraceroute,""pkgman"":freebsd12},{""name"":net/tcptraceroute,""pkgman"":netbsd9}]",https://github.com/mct/tcptraceroute,"[freebsd12,netbsd9]",2
"[{""name"":net/tigervnc-server,""pkgman"":freebsd12},{""name"":net/tigervnc-viewer,""pkgman"":freebsd12},{""name"":x11/tigervnc,""pkgman"":openbsd69}]",https://github.com/TigerVNC/tigervnc,"[freebsd12,openbsd69]",3
"[{""name"":net/unison,""pkgman"":freebsd12},{""name"":net/unison248,""pkgman"":freebsd12},{""name"":net/unison251,""pkgman"":freebsd12},{""name"":net/unison,""pkgman"":netbsd9}]",https://github.com/bcpierce00/unison,"[freebsd12,netbsd9]",4
"[{""name"":net/x11vnc,""pkgman"":freebsd12},{""name"":x11/x11vnc,""pkgman"":openbsd69}]",https://github.com/LibVNC/x11vnc,"[freebsd12,openbsd69]",2
"[{""name"":print/cups,""pkgman"":freebsd12},{""name"":print/cups,""pkgman"":openbsd69}]",https://github.com/OpenPrinting/cups,"[freebsd12,openbsd69]",2
"[{""name"":print/indexinfo,""pkgman"":freebsd12},{""name"":print/indexinfo,""pkgman"":netbsd9}]",https://github.com/bapt/indexinfo,"[freebsd12,netbsd9]",2
"[{""name"":print/latex-biber,""pkgman"":freebsd12},{""name"":print/p5-biblatex-biber,""pkgman"":netbsd9}]",https://github.com/plk/biber,"[freebsd12,netbsd9]",2
"[{""name"":net/phpldapadmin,""pkgman"":freebsd12},{""name"":www/phpldapadmin,""pkgman"":openbsd69}]",https://github.com/leenooks/phpLDAPadmin,"[freebsd12,openbsd69]",2
"[{""name"":net/py-aiohttp-socks,""pkgman"":freebsd12},{""name"":www/py-aiohttp-socks,""pkgman"":netbsd9}]",https://github.com/romis2012/aiohttp-socks,"[freebsd12,netbsd9]",2
"[{""name"":net/py-cloudflare-scrape,""pkgman"":freebsd12},{""name"":www/py-cfscrape,""pkgman"":netbsd9}]",https://github.com/Anorov/cloudflare-scrape,"[freebsd12,netbsd9]",2
"[{""name"":net/py-httpstat,""pkgman"":freebsd12},{""name"":net/httpstat,""pkgman"":netbsd9}]",https://github.com/reorx/httpstat,"[freebsd12,netbsd9]",2
"[{""name"":net/py-ifaddr,""pkgman"":freebsd12},{""name"":net/py-ifaddr,""pkgman"":netbsd9}]",https://github.com/pydron/ifaddr,"[freebsd12,netbsd9]",2
"[{""name"":net/py-tweepy,""pkgman"":freebsd12},{""name"":net/py-tweepy,""pkgman"":netbsd9}]",https://github.com/tweepy/tweepy,"[freebsd12,netbsd9]",2
"[{""name"":net/py-zeroconf,""pkgman"":freebsd12},{""name"":net/py-zeroconf,""pkgman"":netbsd9}]",https://github.com/jstasiak/python-zeroconf,"[freebsd12,netbsd9]",2
"[{""name"":science/py-netCDF4,""pkgman"":freebsd12},{""name"":math/py-netCDF4,""pkgman"":netbsd9}]",https://github.com/Unidata/netcdf4-python,"[freebsd12,netbsd9]",2
"[{""name"":science/py-pydicom,""pkgman"":freebsd12},{""name"":biology/py-pydicom,""pkgman"":netbsd9}]",https://github.com/pydicom/pydicom,"[freebsd12,netbsd9]",2
"[{""name"":security/cvechecker,""pkgman"":freebsd12},{""name"":security/cvechecker,""pkgman"":openbsd69}]",https://github.com/sjvermeu/cvechecker,"[freebsd12,openbsd69]",2
"[{""name"":security/dsvpn,""pkgman"":freebsd12},{""name"":net/dsvpn,""pkgman"":openbsd69}]",https://github.com/jedisct1/dsvpn,"[freebsd12,openbsd69]",2
"[{""name"":security/fwbuilder,""pkgman"":freebsd12},{""name"":security/fwbuilder,""pkgman"":openbsd69}]",https://github.com/fwbuilder/fwbuilder,"[freebsd12,openbsd69]",2
"[{""name"":security/hydra,""pkgman"":freebsd12},{""name"":security/hydra,""pkgman"":openbsd69}]",https://github.com/vanhauser-thc/thc-hydra,"[freebsd12,openbsd69]",2
"[{""name"":security/i2pd,""pkgman"":freebsd12},{""name"":net/i2pd,""pkgman"":openbsd69}]",https://github.com/PurpleI2P/i2pd,"[freebsd12,openbsd69]",2
"[{""name"":security/libscrypt,""pkgman"":freebsd12},{""name"":security/libscrypt,""pkgman"":openbsd69}]",https://github.com/technion/libscrypt,"[freebsd12,openbsd69]",2
"[{""name"":security/lua-bcrypt,""pkgman"":freebsd12},{""name"":security/lua-bcrypt,""pkgman"":netbsd9}]",https://github.com/mikejsavage/lua-bcrypt,"[freebsd12,netbsd9]",2
"[{""name"":security/md5deep,""pkgman"":freebsd12},{""name"":security/hashdeep,""pkgman"":openbsd69}]",https://github.com/jessek/hashdeep,"[freebsd12,openbsd69]",2
"[{""name"":security/minisign,""pkgman"":freebsd12},{""name"":security/minisign,""pkgman"":openbsd69}]",https://github.com/jedisct1/minisign,"[freebsd12,openbsd69]",2
"[{""name"":security/nikto,""pkgman"":freebsd12},{""name"":security/nikto,""pkgman"":openbsd69}]",https://github.com/sullo/nikto,"[freebsd12,openbsd69]",2
"[{""name"":security/ocaml-cryptokit,""pkgman"":freebsd12},{""name"":security/ocaml-cryptokit,""pkgman"":netbsd9}]",https://github.com/xavierleroy/cryptokit,"[freebsd12,netbsd9]",2
"[{""name"":security/ocaml-ssl,""pkgman"":freebsd12},{""name"":security/ocaml-ssl,""pkgman"":netbsd9}]",https://github.com/savonet/ocaml-ssl,"[freebsd12,netbsd9]",2
"[{""name"":print/pdfarranger,""pkgman"":freebsd12},{""name"":print/pdfarranger,""pkgman"":openbsd69}]",https://github.com/pdfarranger/pdfarranger,"[freebsd12,openbsd69]",2
"[{""name"":filesystems/fuse-unionfs,""pkgman"":netbsd9},{""name"":sysutils/fusefs-unionfs,""pkgman"":freebsd12},{""name"":sysutils/unionfs-fuse,""pkgman"":openbsd69}]",https://github.com/rpodgorny/unionfs-fuse,"[netbsd9,freebsd12,openbsd69]",3
"[{""name"":filesystems/fuse-ext2,""pkgman"":netbsd9},{""name"":sysutils/fusefs-ext2,""pkgman"":freebsd12}]",https://github.com/alperakcan/fuse-ext2,"[netbsd9,freebsd12]",2
"[{""name"":filesystems/squashfs,""pkgman"":netbsd9},{""name"":sysutils/squashfs-tools,""pkgman"":openbsd69}]",https://github.com/plougher/squashfs-tools,"[netbsd9,openbsd69]",2
"[{""name"":filesystems/fuse-exfat,""pkgman"":netbsd9},{""name"":sysutils/fusefs-exfat,""pkgman"":freebsd12},{""name"":sysutils/exfat-utils,""pkgman"":freebsd12},{""name"":sysutils/exfat-fuse,""pkgman"":openbsd69}]",https://github.com/relan/exfat,"[netbsd9,freebsd12,openbsd69]",4
"[{""name"":filesystems/mkspiffs,""pkgman"":netbsd9},{""name"":devel/mkspiffs,""pkgman"":openbsd69}]",https://github.com/igrr/mkspiffs,"[netbsd9,openbsd69]",2
"[{""name"":finance/bitcoin,""pkgman"":netbsd9},{""name"":net/bitcoin,""pkgman"":openbsd69}]",https://github.com/bitcoin/bitcoin,"[netbsd9,openbsd69]",2
"[{""name"":security/py-acme-tiny,""pkgman"":freebsd12},{""name"":security/py-acme-tiny,""pkgman"":netbsd9}]",https://github.com/diafygi/acme-tiny,"[freebsd12,netbsd9]",2
