id,url,count_deps,count_total
45,https://github.com/Yomguithereal/clj-fuzzy,"{'clojars': 11, 'npm': 7}",18
105,https://github.com/awslabs/aws-c-cal,"{'conan': 4, 'vcpkg': 5, 'freebsd12': 9}",18
188,https://github.com/nothings/stb,"{'conan': 4, 'vcpkg': 9, 'freebsd12': 5}",18
8,https://github.com/aws/s2n-tls,"{'cargo': 3, 'conan': 1, 'vcpkg': 5, 'freebsd12': 9}",18
67,https://github.com/libusb/libusb,"{'conan': 9, 'vcpkg': 9}",18
44,https://github.com/google/brotli/archive/v1.0.9.tar.gz,"{'chromebrew': 8, 'homebrew': 10}",18
59,https://git.kernel.org/pub/scm/libs/libcap/libcap.git,"{'chromebrew': 14, 'conan': 3}",17
307,https://github.com/testing-cabal/mock,"{'freebsd12': 16, 'netbsd9': 1}",17
165,https://github.com/msgpack/msgpack-c,"{'conan': 2, 'vcpkg': 2, 'freebsd12': 10, 'openbsd69': 3}",17
289,https://github.com/ocaml/dune,"{'freebsd12': 7, 'openbsd69': 10}",17
20,https://github.com/ImageOptim/libimagequant,"{'cargo': 10, 'freebsd12': 6, 'openbsd69': 1}",17
102,https://github.com/P-H-C/phc-winner-argon2,"{'conan': 0, 'freebsd12': 14, 'openbsd69': 2}",16
26,https://github.com/nayuki/QR-Code-generator,"{'cargo': 12, 'conan': 0, 'vcpkg': 0, 'freebsd12': 4, 'netbsd9': 0}",16
347,https://github.com/garrigue/lablgtk,"{'freebsd12': 10, 'netbsd9': 0, 'openbsd69': 6}",16
170,https://github.com/stevengj/nlopt,"{'conan': 0, 'vcpkg': 1, 'freebsd12': 14, 'openbsd69': 0}",15
329,https://github.com/jbeich/aom,"{'freebsd12': 10, 'openbsd69': 5}",15
60,https://github.com/P-H-C/phc-winner-argon2/archive/20190702.tar.gz,"{'chromebrew': 8, 'homebrew': 7}",15
110,https://github.com/awslabs/aws-c-http,"{'conan': 5, 'freebsd12': 6, 'vcpkg': 4}",15
93,https://github.com/grpc/grpc,"{'conan': 2, 'vcpkg': 3, 'freebsd12': 10}",15
325,https://github.com/AcademySoftwareFoundation/OpenColorIO,"{'freebsd12': 12, 'openbsd69': 3}",15
215,https://github.com/Cyan4973/xxHash,"{'conan': 2, 'freebsd12': 10, 'vcpkg': 0, 'openbsd69': 2, 'netbsd9': 1}",15
83,https://github.com/facebook/folly,"{'conan': 0, 'vcpkg': 6, 'freebsd12': 9}",15
317,https://github.com/ocaml/num,"{'freebsd12': 10, 'openbsd69': 4}",14
335,https://github.com/scop/bash-completion,"{'freebsd12': 9, 'netbsd9': 0, 'openbsd69': 5}",14
197,https://github.com/nemtrif/utfcpp,"{'conan': 2, 'freebsd12': 7, 'vcpkg': 3, 'netbsd9': 2}",14
98,https://github.com/nodejs/http-parser,"{'conan': 3, 'vcpkg': 2, 'freebsd12': 8, 'netbsd9': 0, 'openbsd69': 1}",14
158,https://github.com/libevent/libevent,"{'conan': 5, 'vcpkg': 9}",14
48,https://github.com/eligrey/FileSaver.js,"{'clojars': 3, 'npm': 11}",14
49,https://github.com/krisk/Fuse,"{'clojars': 1, 'npm': 13}",14
237,https://github.com/aquynh/capstone,"{'vcpkg': 2, 'freebsd12': 11}",13
131,https://github.com/zeromq/cppzmq,"{'conan': 1, 'vcpkg': 5, 'freebsd12': 6, 'openbsd69': 1}",13
261,https://github.com/OpenImageIO/oiio,"{'vcpkg': 2, 'freebsd12': 10, 'openbsd69': 1}",13
161,https://github.com/strukturag/libheif,"{'conan': 2, 'freebsd12': 11}",13
297,https://github.com/troydhanson/uthash,"{'freebsd12': 11, 'openbsd69': 2}",13
203,https://github.com/stachenov/quazip,"{'conan': 0, 'freebsd12': 8, 'openbsd69': 5}",13
253,https://github.com/keplerproject/luafilesystem,"{'vcpkg': 1, 'freebsd12': 6, 'openbsd69': 6}",13
350,https://github.com/giampaolo/psutil,"{'openbsd69': 12, 'netbsd9': 1}",13
