,pkgname,ecosystem,count_deps,count_total
479,devel/dasm,"['freebsd12', 'openbsd69']","[0, 0]",0
430,xbyak,"['conan', 'vcpkg']","[0, 0]",0
480,devel/distcc,"['freebsd12', 'netbsd9', 'openbsd69']","[0, 0, 0]",0
482,devel/leiningen,"['freebsd12', 'openbsd69']","[0, 0]",0
487,devel/lua-posix,"['freebsd12', 'netbsd9']","[0, 0]",0
489,databases/sqlitebrowser,"['freebsd12', 'openbsd69']","[0, 0]",0
490,databases/timescaledb,"['freebsd12', 'openbsd69']","[0, 0]",0
492,databases/innotop,"['freebsd12', 'netbsd9']","[0, 0]",0
458,audio/squeezelite,"['freebsd12', 'openbsd69']","[0, 0]",0
457,audio/sonata,"['freebsd12', 'netbsd9', 'openbsd69']","[0, 0, 0]",0
456,audio/pithos,"['freebsd12', 'openbsd69']","[0, 0]",0
455,comms/xastir,"['freebsd12', 'openbsd69']","[0, 0]",0
454,comms/tio,"['freebsd12', 'netbsd9']","[0, 0]",0
453,comms/py-esptool,"['freebsd12', 'netbsd9']","[0, 0]",0
452,comms/picocom,"['freebsd12', 'netbsd9', 'openbsd69']","[0, 0, 0]",0
451,ghc-filesystem,"['conan', 'vcpkg']","[0, 0]",0
449,gamenetworkingsockets,"['conan', 'vcpkg']","[0, 0]",0
446,ftxui,"['conan', 'vcpkg']","[0, 0]",0
445,frugally-deep,"['conan', 'vcpkg']","[0, 0]",0
443,foxi,"['conan', 'vcpkg']","[0, 0]",0
442,fast-cpp-csv-parser,"['conan', 'vcpkg']","[0, 0]",0
441,ezc3d,"['conan', 'vcpkg']","[0, 0]",0
440,exprtk,"['conan', 'vcpkg']","[0, 0]",0
438,zfp,"['conan', 'vcpkg']","[0, 0]",0
433,xqilla,"['conan', 'vcpkg']","[0, 0]",0
498,devel/git-cola,"['freebsd12', 'openbsd69']","[0, 0]",0
501,devel/hub,"['freebsd12', 'openbsd69']","[0, 0]",0
503,devel/py-adb,"['freebsd12', 'netbsd9']","[0, 0]",0
537,biology/fastx-toolkit,"['freebsd12', 'netbsd9']","[0, 0]",0
570,devel/qconf,"['freebsd12', 'netbsd9']","[0, 0]",0
569,editors/hexedit,"['freebsd12', 'openbsd69']","[0, 0]",0
568,editors/ghostwriter,"['freebsd12', 'openbsd69']","[0, 0]",0
556,comms/dump1090,"['freebsd12', 'openbsd69']","[0, 0]",0
551,devel/py-rauth,"['freebsd12', 'netbsd9']","[0, 0]",0
550,audio/ncspot,"['freebsd12', 'openbsd69']","[0, 0]",0
548,cad/qcad,"['freebsd12', 'openbsd69']","[0, 0]",0
547,cad/librecad,"['freebsd12', 'openbsd69']","[0, 0]",0
545,cad/fritzing,"['freebsd12', 'openbsd69']","[0, 0]",0
543,biology/vsearch,"['freebsd12', 'netbsd9']","[0, 0]",0
542,biology/vcf2hap,"['freebsd12', 'netbsd9']","[0, 0]",0
541,biology/vcf-split,"['freebsd12', 'netbsd9']","[0, 0]",0
540,biology/peak-classifier,"['freebsd12', 'netbsd9']","[0, 0]",0
538,biology/generand,"['freebsd12', 'netbsd9']","[0, 0]",0
533,biology/biolibc-tools,"['freebsd12', 'netbsd9']","[0, 0]",0
505,astro/stellarium,"['freebsd12', 'openbsd69']","[0, 0]",0
532,biology/ad2vcf,"['freebsd12', 'netbsd9']","[0, 0]",0
531,benchmarks/wrk,"['freebsd12', 'openbsd69']","[0, 0]",0
530,benchmarks/netperf,"['freebsd12', 'openbsd69']","[0, 0]",0
529,benchmarks/hyperfine,"['freebsd12', 'openbsd69']","[0, 0]",0
527,benchmarks/glmark2,"['freebsd12', 'netbsd9']","[0, 0]",0
526,benchmarks/filebench,"['freebsd12', 'netbsd9']","[0, 0]",0
525,audio/ympd,"['freebsd12', 'openbsd69']","[0, 0]",0
515,audio/milkytracker,"['freebsd12', 'openbsd69']","[0, 0]",0
512,audio/jack_umidi,"['freebsd12', 'netbsd9']","[0, 0]",0
511,audio/gradio,"['freebsd12', 'openbsd69']","[0, 0]",0
509,audio/cmus,"['freebsd12', 'openbsd69']","[0, 0]",0
508,audio/cantata,"['freebsd12', 'netbsd9']","[0, 0]",0
507,audio/audacity,"['freebsd12', 'openbsd69']","[0, 0]",0
506,audio/adplay,"['freebsd12', 'netbsd9']","[0, 0]",0
432,xorstr,"['conan', 'vcpkg']","[0, 0]",0
425,uvw,"['conan', 'vcpkg']","[0, 0]",0
322,cpp-jwt,"['conan', 'vcpkg']","[0, 0]",0
361,oatpp-openssl,"['conan', 'vcpkg']","[0, 0]",0
353,mp-units,"['conan', 'vcpkg']","[0, 0]",0
355,nativefiledialog,"['conan', 'vcpkg']","[0, 0]",0
356,neargye-semver,"['conan', 'vcpkg']","[0, 0]",0
357,nsync,"['conan', 'vcpkg']","[0, 0]",0
358,nuklear,"['conan', 'vcpkg']","[0, 0]",0
360,oatpp-libressl,"['conan', 'vcpkg']","[0, 0]",0
362,oatpp-postgresql,"['conan', 'vcpkg']","[0, 0]",0
422,trompeloeil,"['conan', 'vcpkg']","[0, 0]",0
363,oatpp-sqlite,"['conan', 'vcpkg']","[0, 0]",0
364,oatpp-swagger,"['conan', 'vcpkg']","[0, 0]",0
365,oatpp-websocket,"['conan', 'vcpkg']","[0, 0]",0
369,pcapplusplus,"['conan', 'vcpkg']","[0, 0]",0
370,pdcurses,"['conan', 'vcpkg']","[0, 0]",0
372,pprint,"['conan', 'vcpkg']","[0, 0]",0
352,mpmcqueue,"['conan', 'vcpkg']","[0, 0]",0
351,morton-nd,"['conan', 'vcpkg']","[0, 0]",0
350,minizip-ng,"['conan', 'vcpkg']","[0, 0]",0
345,mailio,"['conan', 'vcpkg']","[0, 0]",0
344,log4cxx,"['conan', 'vcpkg']","[0, 0]",0
343,libzippp,"['conan', 'vcpkg']","[0, 0]",0
342,libui,"['conan', 'vcpkg']","[0, 0]",0
341,libqrencode,"['conan', 'vcpkg']","[0, 0]",0
339,liblsl,"['conan', 'vcpkg']","[0, 0]",0
338,libkml,"['conan', 'vcpkg']","[0, 0]",0
337,libjxl,"['conan', 'vcpkg']","[0, 0]",0
334,effolkronium-random,"['conan', 'vcpkg']","[0, 0]",0
333,edlib,"['conan', 'vcpkg']","[0, 0]",0
328,dbg-macro,"['conan', 'vcpkg']","[0, 0]",0
327,cxxopts,"['conan', 'vcpkg']","[0, 0]",0
326,cwalk,"['conan', 'vcpkg']","[0, 0]",0
323,cppkafka,"['conan', 'vcpkg']","[0, 0]",0
377,qt-advanced-docking-system,"['conan', 'vcpkg']","[0, 0]",0
379,rapidcheck,"['conan', 'vcpkg']","[0, 0]",0
380,readerwriterqueue,"['conan', 'vcpkg']","[0, 0]",0
404,tcb-span,"['conan', 'vcpkg']","[0, 0]",0
420,tlx,"['conan', 'vcpkg']","[0, 0]",0
