,pkgname,ecosystem,count_deps,count_total
461,archivers/brotli,"['freebsd12', 'netbsd9', 'openbsd69']","[27, 0, 4]",31
228,lzo,"['chromebrew', 'homebrew']","[9, 20]",29
47,double-conversion,"['conan', 'vcpkg']","[22, 7]",29
675,security/qtkeychain,"['freebsd12', 'openbsd69']","[21, 6]",27
121,sbp,"['cargo', 'conan', 'vcpkg']","[27, 0, 0]",27
238,openjpeg,"['conan', 'vcpkg']","[20, 7]",27
294,aws-c-io,"['conan', 'vcpkg']","[21, 5]",26
131,snappy,"['conan', 'vcpkg']","[19, 7]",26
497,devel/gflags,"['freebsd12', 'netbsd9', 'openbsd69']","[25, 0, 1]",26
565,devel/yaml-cpp,"['freebsd12', 'openbsd69']","[21, 5]",26
17,abseil,"['conan', 'vcpkg']","[22, 4]",26
177,xmlto,"['chromebrew', 'homebrew']","[10, 15]",25
688,multimedia/mpv,"['freebsd12', 'openbsd69']","[20, 5]",25
195,libcap,"['chromebrew', 'conan']","[14, 10]",24
594,editors/vim,"['freebsd12', 'openbsd69']","[19, 5]",24
499,devel/glog,"['freebsd12', 'openbsd69']","[23, 0]",23
114,ffmpeg,"['conan', 'vcpkg']","[17, 6]",23
419,tinyxml2,"['conan', 'vcpkg']","[12, 11]",23
12,spdlog,"['conan', 'vcpkg']","[19, 4]",23
578,devel/py-mock,"['freebsd12', 'netbsd9']","[20, 1]",21
144,zip,"['chromebrew', 'homebrew']","[1, 19]",20
109,libevent,"['conan', 'vcpkg']","[10, 10]",20
293,aws-c-http,"['conan', 'vcpkg']","[16, 4]",20
2,libusb,"['conan', 'vcpkg']","[10, 10]",20
11,gmp,"['conan', 'vcpkg']","[12, 8]",20
601,devel/re2,"['freebsd12', 'netbsd9']","[20, 0]",20
555,devel/p8-platform,"['freebsd12', 'netbsd9']","[18, 1]",19
559,devel/spdlog,"['freebsd12', 'netbsd9']","[19, 0]",19
767,shells/bash-completion,"['freebsd12', 'netbsd9', 'openbsd69']","[13, 0, 5]",18
670,devel/protobuf-c,"['freebsd12', 'netbsd9']","[18, 0]",18
288,aws-c-cal,"['conan', 'vcpkg']","[13, 5]",18
75,stb,"['conan', 'vcpkg']","[8, 9]",17
248,re2,"['conan', 'vcpkg']","[14, 3]",17
107,opus,"['chromebrew', 'homebrew']","[3, 14]",17
472,devel/abseil,"['freebsd12', 'netbsd9']","[17, 0]",17
175,libgeotiff,"['conan', 'vcpkg']","[13, 4]",17
205,libxinerama,"['chromebrew', 'homebrew']","[9, 7]",16
45,gflags,"['conan', 'vcpkg']","[6, 10]",16
639,graphics/glslang,"['freebsd12', 'openbsd69']","[13, 3]",16
701,math/ocaml-num,"['freebsd12', 'openbsd69']","[11, 4]",15
140,zeromq,"['conan', 'vcpkg']","[8, 7]",15
681,multimedia/aom,"['freebsd12', 'openbsd69']","[10, 5]",15
637,graphics/ftgl,"['freebsd12', 'netbsd9']","[14, 0]",14
27,msgpack,"['conan', 'vcpkg']","[12, 2]",14
519,devel/msgpack,"['freebsd12', 'openbsd69']","[11, 3]",14
763,sysutils/py-psutil,"['netbsd9', 'openbsd69']","[1, 13]",14
700,math/nlopt,"['freebsd12', 'openbsd69']","[14, 0]",14
119,ejdb,"['homebrew', 'npm']","[0, 13]",13
29,json-c,"['conan', 'vcpkg']","[9, 4]",13
210,glslang,"['conan', 'vcpkg']","[12, 1]",13
220,lcms,"['conan', 'vcpkg']","[10, 3]",13
399,spirv-headers,"['conan', 'vcpkg']","[11, 2]",13
465,archivers/quazip,"['freebsd12', 'openbsd69']","[8, 5]",13
563,devel/uthash,"['freebsd12', 'openbsd69']","[11, 2]",13
655,graphics/opencolorio,"['freebsd12', 'openbsd69']","[10, 3]",13
649,math/arpack-ng,"['freebsd12', 'netbsd9']","[13, 0]",13
436,xtl,"['conan', 'vcpkg']","[8, 5]",13
564,devel/xxhash,"['freebsd12', 'netbsd9']","[11, 1]",12
145,imgui,"['conan', 'vcpkg']","[7, 5]",12
429,websocketpp,"['conan', 'vcpkg']","[10, 2]",12
181,libssh2,"['chromebrew', 'homebrew']","[2, 10]",12
731,textproc/tinyxml2,"['freebsd12', 'openbsd69']","[11, 1]",12
792,x11/xclip,"['freebsd12', 'netbsd9', 'openbsd69']","[7, 0, 5]",12
237,libzip,"['conan', 'vcpkg']","[3, 9]",12
424,utfcpp,"['conan', 'vcpkg']","[8, 3]",11
271,libbacktrace,"['conan', 'vcpkg']","[11, 0]",11
398,spirv-cross,"['conan', 'vcpkg']","[10, 1]",11
142,gdk-pixbuf,"['conan', 'vcpkg']","[7, 4]",11
117,z3,"['conan', 'vcpkg']","[10, 1]",11
387,robin-hood-hashing,"['conan', 'vcpkg']","[9, 1]",10
780,textproc/cmark,"['freebsd12', 'netbsd9', 'openbsd69']","[9, 0, 1]",10
173,libnet,"['chromebrew', 'homebrew']","[1, 9]",10
226,jsoncpp,"['conan', 'vcpkg']","[3, 7]",10
624,graphics/tesseract,"['freebsd12', 'netbsd9']","[10, 0]",10
329,dirent,"['conan', 'vcpkg']","[3, 7]",10
336,expected-lite,"['conan', 'vcpkg']","[10, 0]",10
367,optional-lite,"['conan', 'vcpkg']","[10, 0]",10
493,databases/leveldb,"['freebsd12', 'netbsd9', 'openbsd69']","[10, 0, 0]",10
576,devel/tbb,"['freebsd12', 'openbsd69']","[6, 4]",10
127,check,"['chromebrew', 'homebrew']","[2, 8]",10
69,unmp-id,"['cargo', 'npm']","[10, 0]",10
49,cereal,"['conan', 'vcpkg']","[8, 2]",10
434,xsimd,"['conan', 'vcpkg']","[9, 0]",9
287,aws-c-auth,"['conan', 'vcpkg']","[7, 2]",9
811,www/http-parser,"['freebsd12', 'netbsd9']","[9, 0]",9
152,witme,"['cargo', 'npm']","[4, 5]",9
249,libepoxy,"['conan', 'vcpkg']","[7, 2]",9
658,graphics/openimageio,"['freebsd12', 'openbsd69']","[8, 1]",9
330,eabase,"['conan', 'vcpkg']","[7, 2]",9
694,net/cppzmq,"['freebsd12', 'openbsd69']","[7, 1]",8
690,multimedia/openh264,"['freebsd12', 'netbsd9']","[8, 0]",8
267,jwt-cpp,"['conan', 'vcpkg']","[8, 0]",8
292,aws-checksums,"['conan', 'vcpkg']","[6, 2]",8
682,multimedia/assimp,"['freebsd12', 'openbsd69']","[6, 2]",8
558,devel/sparsehash,"['freebsd12', 'openbsd69']","[4, 4]",8
33,geoip,"['chromebrew', 'homebrew']","[2, 6]",8
324,cpprestsdk,"['conan', 'vcpkg']","[6, 2]",8
423,usockets,"['conan', 'vcpkg']","[7, 1]",8
132,bc,"['chromebrew', 'homebrew']","[3, 5]",8
67,cpuinfo,"['conan', 'vcpkg']","[4, 4]",8
52,date,"['conan', 'vcpkg']","[4, 3]",7
93,tbb,"['cargo', 'conan']","[6, 1]",7
623,graphics/spirv-tools,"['freebsd12', 'openbsd69']","[6, 1]",7
676,math/z3,"['freebsd12', 'openbsd69']","[7, 0]",7
92,s2n,"['conan', 'vcpkg']","[2, 5]",7
239,crc32c,"['conan', 'vcpkg']","[7, 0]",7
651,graphics/libimagequant,"['freebsd12', 'openbsd69']","[6, 1]",7
99,hiredis,"['conan', 'vcpkg']","[6, 1]",7
179,yajl,"['chromebrew', 'homebrew']","[3, 4]",7
444,fp16,"['conan', 'vcpkg']","[4, 3]",7
437,yaml-cpp,"['conan', 'vcpkg']","[5, 2]",7
510,audio/faac,"['freebsd12', 'netbsd9']","[7, 0]",7
218,apr,"['conan', 'vcpkg']","[3, 4]",7
136,gstreamer,"['conan', 'vcpkg']","[6, 1]",7
16,gtest,"['conan', 'vcpkg']","[0, 7]",7
290,aws-c-compression,"['conan', 'vcpkg']","[4, 3]",7
549,cad/yosys,"['freebsd12', 'openbsd69']","[5, 2]",7
544,cad/abc,"['freebsd12', 'openbsd69']","[6, 1]",7
135,argon2,"['chromebrew', 'homebrew']","[0, 7]",7
702,math/ocaml-zarith,"['freebsd12', 'netbsd9', 'openbsd69']","[4, 0, 2]",6
118,freeimage,"['chromebrew', 'homebrew']","[2, 4]",6
325,cppzmq,"['conan', 'vcpkg']","[1, 5]",6
185,libxau,"['chromebrew', 'homebrew']","[3, 3]",6
491,databases/hiredis,"['freebsd12', 'netbsd9']","[6, 0]",6
7,poly2tri,"['conan', 'vcpkg']","[5, 1]",6
374,pthreadpool,"['conan', 'vcpkg']","[3, 3]",6
198,cfitsio,"['conan', 'vcpkg']","[3, 3]",6
481,devel/leatherman,"['freebsd12', 'openbsd69']","[4, 2]",6
557,devel/simde,"['freebsd12', 'netbsd9']","[6, 0]",6
474,devel/bullet,"['freebsd12', 'openbsd69']","[3, 3]",6
591,editors/neovim,"['freebsd12', 'openbsd69']","[4, 2]",6
91,orgize,"['cargo', 'npm']","[6, 0]",6
513,audio/libebur128,"['freebsd12', 'netbsd9', 'openbsd69']","[5, 0, 1]",6
573,devel/range-v3,"['freebsd12', 'netbsd9']","[6, 0]",6
155,libxkbfile,"['chromebrew', 'homebrew']","[5, 1]",6
518,devel/msbuild,"['freebsd12', 'openbsd69']","[5, 1]",6
534,biology/biolibc,"['freebsd12', 'netbsd9']","[6, 0]",6
849,sysutils/consolekit,"['netbsd9', 'openbsd69']","[0, 6]",6
20,folly,"['conan', 'vcpkg']","[0, 6]",6
517,devel/mono-addins,"['freebsd12', 'openbsd69']","[4, 2]",6
435,xtensor,"['conan', 'vcpkg']","[1, 4]",5
575,devel/robin-map,"['freebsd12', 'netbsd9', 'openbsd69']","[3, 1, 1]",5
448,fxdiv,"['conan', 'vcpkg']","[1, 4]",5
246,libsass,"['chromebrew', 'homebrew']","[4, 1]",5
659,graphics/opensubdiv,"['freebsd12', 'openbsd69']","[4, 1]",5
240,lodepng,"['conan', 'vcpkg']","[3, 2]",5
38,hunspell,"['chromebrew', 'homebrew']","[3, 2]",5
572,devel/qjson,"['freebsd12', 'openbsd69']","[5, 0]",5
253,apr-util,"['conan', 'vcpkg']","[3, 2]",5
178,mpdecimal,"['chromebrew', 'homebrew']","[1, 4]",5
613,games/lwjgl,"['freebsd12', 'openbsd69']","[4, 1]",5
346,mapbox-geometry,"['conan', 'vcpkg']","[1, 4]",5
291,aws-c-event-stream,"['conan', 'vcpkg']","[4, 1]",5
804,textproc/ruby-rdtool,"['freebsd12', 'netbsd9']","[2, 3]",5
373,psimd,"['conan', 'vcpkg']","[2, 3]",5
844,security/py-asn1crypto,"['netbsd9', 'openbsd69']","[0, 5]",5
699,math/muparser,"['freebsd12', 'openbsd69']","[4, 1]",5
278,libsquish,"['conan', 'vcpkg']","[3, 2]",5
266,json-schema-validator,"['conan', 'vcpkg']","[5, 0]",5
741,print/libharu,"['freebsd12', 'openbsd69']","[5, 0]",5
164,thrift,"['conan', 'vcpkg']","[2, 3]",5
671,devel/protozero,"['freebsd12', 'openbsd69']","[2, 3]",5
644,graphics/libavif,"['freebsd12', 'openbsd69']","[3, 1]",4
230,libidn2,"['conan', 'vcpkg']","[1, 3]",4
235,iniparser,"['chromebrew', 'homebrew']","[2, 2]",4
716,japanese/less,"['freebsd12', 'openbsd69']","[4, 0]",4
349,miniz,"['conan', 'vcpkg']","[4, 0]",4
755,sysutils/kubectl,"['freebsd12', 'openbsd69']","[4, 0]",4
393,sobjectizer,"['conan', 'vcpkg']","[3, 1]",4
65,assimp,"['conan', 'vcpkg']","[1, 3]",4
297,aws-c-s3,"['conan', 'vcpkg']","[3, 1]",4
306,catch2,"['conan', 'vcpkg']","[1, 3]",4
275,libgpg-error,"['conan', 'vcpkg']","[1, 3]",4
243,faac,"['chromebrew', 'homebrew']","[1, 3]",4
375,pybind11,"['conan', 'vcpkg']","[2, 2]",4
299,bitserializer,"['conan', 'vcpkg']","[0, 4]",4
402,sqlpp11,"['conan', 'vcpkg']","[2, 2]",4
378,range-v3,"['conan', 'vcpkg']","[2, 2]",4
295,aws-c-mqtt,"['conan', 'vcpkg']","[3, 1]",4
128,git,"['chromebrew', 'homebrew']","[1, 3]",4
14,xxhash,"['conan', 'vcpkg']","[4, 0]",4
546,cad/graywolf,"['freebsd12', 'openbsd69']","[2, 2]",4
194,civetweb,"['conan', 'vcpkg']","[4, 0]",4
496,devel/flatbuffers,"['freebsd12', 'openbsd69']","[4, 0]",4
621,graphics/qr-code-generator,"['freebsd12', 'netbsd9']","[4, 0]",4
469,archivers/zopfli,"['freebsd12', 'openbsd69']","[4, 0]",4
24,liburing,"['conan', 'vcpkg']","[3, 1]",4
23,libyaml,"['conan', 'vcpkg']","[0, 4]",4
21,luajit,"['chromebrew', 'homebrew']","[4, 0]",4
522,devel/ocaml-cppo,"['freebsd12', 'openbsd69']","[1, 3]",4
203,yasm,"['conan', 'vcpkg']","[0, 4]",4
773,sysutils/auto-admin,"['freebsd12', 'netbsd9']","[4, 0]",4
34,imath,"['conan', 'vcpkg']","[2, 2]",4
486,devel/lua-lgi,"['freebsd12', 'openbsd69']","[2, 2]",4
561,devel/unibilium,"['freebsd12', 'netbsd9', 'openbsd69']","[2, 0, 2]",4
633,graphics/alembic,"['freebsd12', 'openbsd69']","[3, 1]",4
217,cmocka,"['chromebrew', 'homebrew']","[3, 1]",4
641,graphics/kcolorpicker,"['freebsd12', 'openbsd69']","[2, 2]",4
6,precrypt,"['cargo', 'npm']","[0, 3]",3
488,databases/sqlcipher,"['freebsd12', 'openbsd69']","[3, 0]",3
134,highway,"['conan', 'vcpkg']","[2, 1]",3
579,devel/py-path.py,"['freebsd12', 'netbsd9']","[3, 0]",3
371,picojson,"['conan', 'vcpkg']","[2, 1]",3
736,net/py-zeroconf,"['freebsd12', 'netbsd9']","[3, 0]",3
715,net/usockets,"['freebsd12', 'openbsd69']","[1, 2]",3
304,c4core,"['conan', 'vcpkg']","[2, 1]",3
73,approveapi,"['cargo', 'npm']","[0, 3]",3
154,aalib,"['chromebrew', 'homebrew']","[2, 1]",3
281,libwebsockets,"['conan', 'vcpkg']","[1, 2]",3
103,glade,"['chromebrew', 'homebrew']","[3, 0]",3
170,uriparser,"['conan', 'vcpkg']","[1, 2]",3
163,libavif,"['conan', 'vcpkg']","[2, 1]",3
706,net/libsignal-protocol-c,"['freebsd12', 'openbsd69']","[1, 2]",3
296,aws-crt-cpp,"['conan', 'vcpkg']","[2, 1]",3
785,textproc/libcue,"['freebsd12', 'netbsd9']","[3, 0]",3
757,sysutils/lscpu,"['freebsd12', 'openbsd69']","[2, 1]",3
776,sysutils/consul,"['freebsd12', 'openbsd69']","[3, 0]",3
35,opencolorio,"['conan', 'vcpkg']","[3, 0]",3
224,jbigkit,"['chromebrew', 'homebrew']","[2, 1]",3
645,graphics/libdmtx,"['freebsd12', 'netbsd9']","[3, 0]",3
427,volk,"['conan', 'vcpkg']","[3, 0]",3
476,devel/cpp-hocon,"['freebsd12', 'openbsd69']","[2, 1]",3
642,graphics/kimageannotator,"['freebsd12', 'openbsd69']","[2, 1]",3
810,www/h2o,"['freebsd12', 'netbsd9', 'openbsd69']","[2, 0, 1]",3
256,google-cloud-cpp,"['conan', 'vcpkg']","[0, 3]",3
255,glad,"['conan', 'vcpkg']","[0, 3]",3
206,libunistring,"['conan', 'vcpkg']","[2, 1]",3
250,cabextract,"['chromebrew', 'homebrew']","[2, 1]",3
209,ctags,"['chromebrew', 'homebrew']","[1, 2]",3
652,graphics/libplacebo,"['freebsd12', 'openbsd69']","[1, 1]",2
628,graphics/vulkan-tools,"['freebsd12', 'openbsd69']","[2, 0]",2
340,libnop,"['conan', 'vcpkg']","[1, 1]",2
552,devel/py-wrapt,"['netbsd9', 'openbsd69']","[0, 2]",2
483,devel/libcbor,"['freebsd12', 'netbsd9']","[2, 0]",2
553,devel/py3c,"['freebsd12', 'openbsd69']","[1, 1]",2
447,function2,"['conan', 'vcpkg']","[1, 1]",2
311,cgal,"['conan', 'vcpkg']","[0, 2]",2
335,entt,"['conan', 'vcpkg']","[1, 1]",2
566,editors/editorconfig-core-c,"['freebsd12', 'openbsd69']","[2, 0]",2
562,devel/universal-ctags,"['freebsd12', 'openbsd69']","[2, 0]",2
847,www/py-httpx-socks,"['freebsd12', 'netbsd9']","[2, 0]",2
405,fcl,"['conan', 'vcpkg']","[0, 2]",2
397,span-lite,"['conan', 'vcpkg']","[2, 0]",2
478,devel/cxxopts,"['freebsd12', 'netbsd9']","[1, 1]",2
838,textproc/luceneplusplus,"['freebsd12', 'openbsd69']","[1, 1]",2
825,x11/keybinder,"['freebsd12', 'netbsd9']","[2, 0]",2
368,opusfile,"['conan', 'vcpkg']","[1, 1]",2
60,czmq,"['conan', 'vcpkg']","[1, 1]",2
674,security/py-cybox,"['freebsd12', 'netbsd9']","[2, 0]",2
612,games/liblcf,"['freebsd12', 'openbsd69']","[1, 1]",2
606,lang/ponyc,"['freebsd12', 'openbsd69']","[0, 2]",2
841,textproc/ocaml-text,"['freebsd12', 'netbsd9']","[2, 0]",2
354,nanoflann,"['conan', 'vcpkg']","[2, 0]",2
467,archivers/unshield,"['freebsd12', 'netbsd9', 'openbsd69']","[1, 0, 1]",2
129,woff2,"['chromebrew', 'homebrew']","[2, 0]",2
830,x11/sxhkd,"['freebsd12', 'netbsd9', 'openbsd69']","[1, 0, 1]",2
666,mail/libetpan,"['freebsd12', 'openbsd69']","[1, 1]",2
514,audio/libmysofa,"['freebsd12', 'netbsd9', 'openbsd69']","[1, 0, 1]",2
376,pystring,"['conan', 'vcpkg']","[1, 1]",2
316,cli11,"['conan', 'vcpkg']","[1, 1]",2
0,bullet3,"['conan', 'vcpkg']","[1, 1]",2
803,textproc/ripgrep,"['freebsd12', 'openbsd69']","[2, 0]",2
749,security/luasec,"['freebsd12', 'openbsd69']","[1, 1]",2
229,xmltoman,"['chromebrew', 'homebrew']","[0, 2]",2
88,rang,"['conan', 'vcpkg']","[2, 0]",2
276,librdkafka,"['conan', 'vcpkg']","[1, 1]",2
100,pigmnts,"['cargo', 'npm']","[2, 0]",2
802,textproc/py-smartypants,"['freebsd12', 'netbsd9']","[2, 0]",2
169,armadillo,"['conan', 'vcpkg']","[0, 2]",2
722,games/qstat,"['freebsd12', 'netbsd9', 'openbsd69']","[2, 0, 0]",2
761,sysutils/nomad,"['freebsd12', 'openbsd69']","[2, 0]",2
791,x11/xcb-imdkit,"['freebsd12', 'netbsd9']","[2, 0]",2
737,net/rabbitmq-c,"['freebsd12', 'netbsd9', 'openbsd69']","[1, 0, 1]",2
162,nameof,"['conan', 'vcpkg']","[1, 1]",2
784,textproc/iksemel,"['freebsd12', 'netbsd9']","[2, 0]",2
747,security/libscrypt,"['freebsd12', 'openbsd69']","[1, 1]",2
193,docbook2x,"['chromebrew', 'homebrew']","[0, 2]",2
137,protozero,"['conan', 'vcpkg']","[0, 2]",2
734,net/py-ifaddr,"['freebsd12', 'netbsd9']","[2, 0]",2
97,ucl,"['chromebrew', 'homebrew']","[1, 1]",2
753,security/ocaml-ssl,"['freebsd12', 'netbsd9']","[2, 0]",2
520,devel/mspdebug,"['freebsd12', 'openbsd69']","[0, 1]",1
83,plog,"['conan', 'vcpkg']","[0, 1]",1
814,x11/alacritty,"['freebsd12', 'netbsd9']","[1, 0]",1
516,audio/minimp3,"['freebsd12', 'netbsd9']","[0, 1]",1
161,farmhash,"['conan', 'vcpkg']","[1, 0]",1
244,glyr,"['chromebrew', 'homebrew']","[0, 1]",1
251,doctest,"['conan', 'vcpkg']","[0, 1]",1
839,textproc/mdbook,"['freebsd12', 'openbsd69']","[1, 0]",1
829,x11/slop,"['freebsd12', 'netbsd9']","[1, 0]",1
523,devel/ocaml-extlib,"['freebsd12', 'netbsd9']","[1, 0]",1
668,mail/neomutt,"['freebsd12', 'openbsd69']","[0, 1]",1
602,lang/janet,"['freebsd12', 'openbsd69']","[1, 0]",1
473,devel/bmkdep,"['freebsd12', 'netbsd9']","[1, 0]",1
528,benchmarks/httperf,"['freebsd12', 'netbsd9']","[1, 0]",1
597,emulators/mame,"['freebsd12', 'openbsd69']","[1, 0]",1
596,emulators/emulationstation,"['freebsd12', 'netbsd9']","[0, 1]",1
535,biology/bowtie2,"['freebsd12', 'netbsd9']","[1, 0]",1
680,math/4ti2,"['freebsd12', 'openbsd69']","[1, 0]",1
395,sol2,"['conan', 'vcpkg']","[0, 1]",1
833,devel/lua-say,"['netbsd9', 'openbsd69']","[0, 1]",1
832,devel/lua-compat53,"['netbsd9', 'openbsd69']","[0, 1]",1
495,databases/luadbi,"['freebsd12', 'openbsd69']","[0, 1]",1
475,devel/cjose,"['freebsd12', 'openbsd69']","[1, 0]",1
96,openvr,"['conan', 'vcpkg']","[0, 1]",1
477,devel/cvise,"['freebsd12', 'netbsd9']","[0, 1]",1
32,libharu,"['chromebrew', 'homebrew']","[1, 0]",1
464,archivers/pixz,"['freebsd12', 'netbsd9']","[1, 0]",1
840,textproc/miller,"['freebsd12', 'openbsd69']","[1, 0]",1
485,devel/lua-argparse,"['freebsd12', 'netbsd9']","[1, 0]",1
775,sysutils/conky,"['freebsd12', 'openbsd69']","[1, 0]",1
188,nlopt,"['conan', 'vcpkg']","[0, 1]",1
450,gemmlowp,"['conan', 'vcpkg']","[1, 0]",1
214,leveldb,"['conan', 'vcpkg']","[0, 1]",1
222,elinks,"['chromebrew', 'homebrew']","[1, 0]",1
171,libmetalink,"['chromebrew', 'homebrew']","[1, 0]",1
439,zug,"['conan', 'vcpkg']","[0, 1]",1
89,cjson,"['conan', 'vcpkg']","[0, 1]",1
231,cloog,"['chromebrew', 'homebrew']","[1, 0]",1
232,chruby,"['chromebrew', 'homebrew']","[0, 1]",1
431,xnnpack,"['conan', 'vcpkg']","[1, 0]",1
176,zziplib,"['conan', 'vcpkg']","[0, 1]",1
805,textproc/ydiff,"['freebsd12', 'netbsd9']","[1, 0]",1
504,devel/py-archinfo,"['freebsd12', 'netbsd9']","[1, 0]",1
421,toml11,"['conan', 'vcpkg']","[1, 0]",1
174,libconfuse,"['conan', 'vcpkg']","[0, 1]",1
172,cscope,"['chromebrew', 'homebrew']","[0, 1]",1
536,biology/fastp,"['freebsd12', 'netbsd9']","[1, 0]",1
159,libexif,"['conan', 'vcpkg']","[1, 0]",1
196,most,"['chromebrew', 'homebrew']","[1, 0]",1
584,games/cowsay,"['freebsd12', 'openbsd69']","[1, 0]",1
331,eastl,"['conan', 'vcpkg']","[0, 1]",1
733,net/py-dpkt,"['netbsd9', 'openbsd69']","[0, 1]",1
732,textproc/ugrep,"['freebsd12', 'netbsd9']","[0, 1]",1
554,devel/py-bitarray,"['freebsd12', 'netbsd9']","[1, 0]",1
347,mdspan,"['conan', 'vcpkg']","[1, 0]",1
567,editors/featherpad,"['freebsd12', 'openbsd69']","[1, 0]",1
818,x11/dzen2,"['freebsd12', 'openbsd69']","[0, 1]",1
850,textproc/lua-markdown,"['netbsd9', 'openbsd69']","[0, 1]",1
77,augeas,"['chromebrew', 'homebrew']","[0, 1]",1
76,benchmark,"['conan', 'vcpkg']","[0, 1]",1
539,biology/minimap2,"['freebsd12', 'netbsd9']","[1, 0]",1
113,taskflow,"['conan', 'vcpkg']","[0, 1]",1
10,msdfgen,"['conan', 'vcpkg']","[1, 0]",1
9,outcome,"['conan', 'vcpkg']","[0, 1]",1
820,www/uwebsockets,"['freebsd12', 'openbsd69']","[0, 1]",1
298,aws-sdk-cpp,"['conan', 'vcpkg']","[1, 0]",1
707,net/mtr,"['freebsd12', 'openbsd69']","[0, 1]",1
70,cityhash,"['conan', 'vcpkg']","[0, 1]",1
560,devel/tl-expected,"['freebsd12', 'netbsd9']","[1, 0]",1
708,net/nanomsg,"['freebsd12', 'openbsd69']","[1, 0]",1
332,easyloggingpp,"['conan', 'vcpkg']","[0, 1]",1
280,libuvc,"['conan', 'vcpkg']","[0, 1]",1
582,games/cataclysm-dda,"['freebsd12', 'openbsd69']","[1, 0]",1
143,ascii,"['chromebrew', 'homebrew']","[1, 0]",1
587,games/endless-sky,"['freebsd12', 'openbsd69']","[1, 0]",1
735,net/py-tweepy,"['freebsd12', 'netbsd9']","[1, 0]",1
272,libcbor,"['conan', 'vcpkg']","[0, 1]",1
72,butteraugli,"['conan', 'vcpkg']","[0, 1]",1
318,concurrentqueue,"['conan', 'vcpkg']","[0, 1]",1
366,opentelemetry-cpp,"['conan', 'vcpkg']","[1, 0]",1
61,frozen,"['conan', 'vcpkg']","[1, 0]",1
317,cocoyaxi,"['conan', 'vcpkg']","[0, 1]",1
795,x11/xsettingsd,"['freebsd12', 'openbsd69']","[1, 0]",1
691,net/h323plus,"['freebsd12', 'openbsd69']","[0, 1]",1
277,librttopo,"['conan', 'vcpkg']","[1, 0]",1
786,textproc/libcyaml,"['freebsd12', 'netbsd9']","[1, 0]",1
313,cgns,"['conan', 'vcpkg']","[0, 1]",1
81,bats,"['chromebrew', 'homebrew']","[0, 1]",1
619,games/opentyrian,"['freebsd12', 'openbsd69']","[0, 0]",0
851,x11/picom,"['netbsd9', 'openbsd69']","[0, 0]",0
794,x11/xnotify,"['freebsd12', 'netbsd9']","[0, 0]",0
778,sysutils/direnv,"['freebsd12', 'openbsd69']","[0, 0]",0
620,games/pioneer,"['freebsd12', 'openbsd69']","[0, 0]",0
845,www/phpvirtualbox,"['freebsd12', 'openbsd69']","[0, 0]",0
580,devel/py-pretend,"['freebsd12', 'netbsd9']","[0, 0]",0
807,www/ddgr,"['freebsd12', 'netbsd9']","[0, 0]",0
797,archivers/lz4json,"['netbsd9', 'openbsd69']","[0, 0]",0
614,games/mvdsv,"['freebsd12', 'openbsd69']","[0, 0]",0
796,x11/yad,"['freebsd12', 'netbsd9']","[0, 0]",0
777,sysutils/detox,"['freebsd12', 'netbsd9']","[0, 0]",0
618,games/openmw,"['freebsd12', 'openbsd69']","[0, 0]",0
793,x11/xmenu,"['freebsd12', 'openbsd69']","[0, 0]",0
615,games/nbsdgames,"['freebsd12', 'netbsd9']","[0, 0]",0
616,games/openjazz,"['freebsd12', 'openbsd69']","[0, 0]",0
774,sysutils/bfs,"['freebsd12', 'openbsd69']","[0, 0]",0
617,games/openjk,"['freebsd12', 'netbsd9', 'openbsd69']","[0, 0, 0]",0
581,games/braincurses,"['freebsd12', 'openbsd69']","[0, 0]",0
843,textproc/pup,"['freebsd12', 'openbsd69']","[0, 0]",0
772,sysutils/amazon-ssm-agent,"['freebsd12', 'openbsd69']","[0, 0]",0
593,editors/texworks,"['freebsd12', 'openbsd69']","[0, 0]",0
779,textproc/cdif,"['freebsd12', 'netbsd9']","[0, 0]",0
798,sysutils/exa,"['freebsd12', 'openbsd69']","[0, 0]",0
592,editors/nvi2,"['freebsd12', 'netbsd9']","[0, 0]",0
801,sysutils/tarsnap-gui,"['freebsd12', 'netbsd9', 'openbsd69']","[0, 0, 0]",0
595,editors/wordgrinder,"['freebsd12', 'openbsd69']","[0, 0]",0
590,editors/neovim-qt,"['freebsd12', 'openbsd69']","[0, 0]",0
589,devel/sdl12-compat,"['freebsd12', 'netbsd9']","[0, 0]",0
598,emulators/mgba,"['freebsd12', 'openbsd69']","[0, 0]",0
599,emulators/ppsspp,"['freebsd12', 'openbsd69']","[0, 0]",0
787,x11/tilda,"['freebsd12', 'openbsd69']","[0, 0]",0
600,emulators/sameboy,"['freebsd12', 'openbsd69']","[0, 0]",0
588,games/gti,"['freebsd12', 'openbsd69']","[0, 0]",0
788,x11/trayer,"['freebsd12', 'openbsd69']","[0, 0]",0
586,games/dustrac,"['freebsd12', 'openbsd69']","[0, 0]",0
800,sysutils/snmp_exporter,"['freebsd12', 'openbsd69']","[0, 0]",0
585,games/dhewm3,"['freebsd12', 'openbsd69']","[0, 0]",0
848,graphics/sxiv,"['netbsd9', 'openbsd69']","[0, 0]",0
782,textproc/go-md2man,"['freebsd12', 'netbsd9']","[0, 0]",0
781,textproc/extract_url,"['freebsd12', 'openbsd69']","[0, 0]",0
