name,nodelist,count,notes
libopenmpt,"[{""name"":libopenmpt,""pkgman"":VCPKG},{""name"":libopenmpt,""pkgman"":Homebrew}]",2,
libopusenc,"[{""name"":libopusenc,""pkgman"":VCPKG},{""name"":libopusenc,""pkgman"":Homebrew}]",2,
libosmium,"[{""name"":libosmium,""pkgman"":VCPKG},{""name"":libosmium,""pkgman"":Homebrew}]",2,
libpcap,"[{""name"":libpcap,""pkgman"":VCPKG},{""name"":libpcap,""pkgman"":Cargo},{""name"":libpcap,""pkgman"":Chromebrew},{""name"":libpcap,""pkgman"":Conan},{""name"":libpcap,""pkgman"":Homebrew}]",5,
libplist,"[{""name"":libplist,""pkgman"":VCPKG},{""name"":libplist,""pkgman"":Chromebrew},{""name"":libplist,""pkgman"":Homebrew},{""name"":libplist,""pkgman"":Nimble}]",4,
libpng,"[{""name"":libpng,""pkgman"":VCPKG},{""name"":libpng,""pkgman"":Chromebrew},{""name"":libpng,""pkgman"":Conan},{""name"":libpng,""pkgman"":Homebrew}]",4,
libpq,"[{""name"":libpq,""pkgman"":VCPKG},{""name"":libpq,""pkgman"":Cargo},{""name"":libpq,""pkgman"":Alire},{""name"":libpq,""pkgman"":Conan},{""name"":libpq,""pkgman"":Homebrew}]",5,
libpqxx,"[{""name"":libpqxx,""pkgman"":VCPKG},{""name"":libpqxx,""pkgman"":Conan},{""name"":libpqxx,""pkgman"":Homebrew}]",3,
libprotobuf-mutator,"[{""name"":libprotobuf-mutator,""pkgman"":VCPKG},{""name"":libprotobuf-mutator,""pkgman"":Conan}]",2,
libproxy,"[{""name"":libproxy,""pkgman"":VCPKG},{""name"":libproxy,""pkgman"":Cargo},{""name"":libproxy,""pkgman"":Chromebrew},{""name"":libproxy,""pkgman"":Homebrew}]",4,
libqrencode,"[{""name"":libqrencode,""pkgman"":VCPKG},{""name"":libqrencode,""pkgman"":Conan}]",2,
libraqm,"[{""name"":libraqm,""pkgman"":VCPKG},{""name"":libraqm,""pkgman"":Homebrew}]",2,
libraw,"[{""name"":libraw,""pkgman"":VCPKG},{""name"":libraw,""pkgman"":Cargo},{""name"":libraw,""pkgman"":Chromebrew},{""name"":libraw,""pkgman"":Conan},{""name"":libraw,""pkgman"":Homebrew}]",5,
