name,nodelist,count,notes
xlsx,"[{""name"":xlsx,""pkgman"":Cargo},{""name"":xlsx,""pkgman"":Nimble}]",2,
sift,"[{""name"":sift,""pkgman"":Cargo},{""name"":sift,""pkgman"":Homebrew}]",2,
nest,"[{""name"":nest,""pkgman"":Cargo},{""name"":nest,""pkgman"":Homebrew},{""name"":nest,""pkgman"":Nimble}]",3,
flower,"[{""name"":flower,""pkgman"":Cargo},{""name"":flower,""pkgman"":Nimble}]",2,
enum-flags,"[{""name"":enum-flags,""pkgman"":Cargo},{""name"":enum-flags,""pkgman"":Conan}]",2,
pls,"[{""name"":pls,""pkgman"":Cargo},{""name"":pls,""pkgman"":Nimble}]",2,
fileinput,"[{""name"":fileinput,""pkgman"":Cargo},{""name"":fileinput,""pkgman"":Nimble}]",2,
newt,"[{""name"":newt,""pkgman"":Cargo},{""name"":newt,""pkgman"":Homebrew}]",2,
reshape,"[{""name"":reshape,""pkgman"":Cargo},{""name"":reshape,""pkgman"":Homebrew}]",2,
guilite,"[{""name"":guilite,""pkgman"":Cargo},{""name"":guilite,""pkgman"":VCPKG}]",2,
tnef,"[{""name"":tnef,""pkgman"":Cargo},{""name"":tnef,""pkgman"":Homebrew}]",2,
oha,"[{""name"":oha,""pkgman"":Cargo},{""name"":oha,""pkgman"":Homebrew}]",2,
nsh,"[{""name"":nsh,""pkgman"":Cargo},{""name"":nsh,""pkgman"":Homebrew},{""name"":nsh,""pkgman"":Nimble}]",3,
words,"[{""name"":words,""pkgman"":Cargo},{""name"":words,""pkgman"":Chromebrew}]",2,
screen,"[{""name"":screen,""pkgman"":Cargo},{""name"":screen,""pkgman"":Chromebrew},{""name"":screen,""pkgman"":Homebrew}]",3,
adb,"[{""name"":adb,""pkgman"":Cargo},{""name"":adb,""pkgman"":Nimble}]",2,
aws,"[{""name"":aws,""pkgman"":Cargo},{""name"":aws,""pkgman"":Alire},{""name"":aws,""pkgman"":Chromebrew}]",3,
knot,"[{""name"":knot,""pkgman"":Cargo},{""name"":knot,""pkgman"":Homebrew}]",2,
snzip,"[{""name"":snzip,""pkgman"":Cargo},{""name"":snzip,""pkgman"":Homebrew}]",2,
flif,"[{""name"":flif,""pkgman"":Cargo},{""name"":flif,""pkgman"":Chromebrew},{""name"":flif,""pkgman"":Homebrew}]",3,
since,"[{""name"":since,""pkgman"":Cargo},{""name"":since,""pkgman"":Homebrew}]",2,
rex,"[{""name"":rex,""pkgman"":Cargo},{""name"":rex,""pkgman"":Homebrew}]",2,
singular,"[{""name"":singular,""pkgman"":Cargo},{""name"":singular,""pkgman"":Homebrew}]",2,
flash,"[{""name"":flash,""pkgman"":Cargo},{""name"":flash,""pkgman"":Homebrew}]",2,
filetype,"[{""name"":filetype,""pkgman"":Cargo},{""name"":filetype,""pkgman"":Nimble}]",2,
kubectx,"[{""name"":kubectx,""pkgman"":Cargo},{""name"":kubectx,""pkgman"":Homebrew}]",2,
tnetstring,"[{""name"":tnetstring,""pkgman"":Cargo},{""name"":tnetstring,""pkgman"":Nimble}]",2,
til,"[{""name"":til,""pkgman"":Cargo},{""name"":til,""pkgman"":Nimble}]",2,
fixed-string,"[{""name"":fixed-string,""pkgman"":Cargo},{""name"":fixed-string,""pkgman"":VCPKG}]",2,
lager,"[{""name"":lager,""pkgman"":Cargo},{""name"":lager,""pkgman"":VCPKG}]",2,
fish,"[{""name"":fish,""pkgman"":Cargo},{""name"":fish,""pkgman"":Chromebrew},{""name"":fish,""pkgman"":Homebrew}]",3,
yash,"[{""name"":yash,""pkgman"":Cargo},{""name"":yash,""pkgman"":Homebrew}]",2,
flamegraph,"[{""name"":flamegraph,""pkgman"":Cargo},{""name"":flamegraph,""pkgman"":Homebrew}]",2,
xterm,"[{""name"":xterm,""pkgman"":Cargo},{""name"":xterm,""pkgman"":Chromebrew},{""name"":xterm,""pkgman"":Homebrew}]",3,
dhall,"[{""name"":dhall,""pkgman"":Cargo},{""name"":dhall,""pkgman"":Homebrew}]",2,
preserves,"[{""name"":preserves,""pkgman"":Cargo},{""name"":preserves,""pkgman"":Nimble}]",2,
redshift,"[{""name"":redshift,""pkgman"":Cargo},{""name"":redshift,""pkgman"":Homebrew}]",2,
c-ares,"[{""name"":c-ares,""pkgman"":Cargo},{""name"":c-ares,""pkgman"":Conan},{""name"":c-ares,""pkgman"":Homebrew},{""name"":c-ares,""pkgman"":VCPKG}]",4,
mon,"[{""name"":mon,""pkgman"":Cargo},{""name"":mon,""pkgman"":Homebrew}]",2,
ngt,"[{""name"":ngt,""pkgman"":Cargo},{""name"":ngt,""pkgman"":Homebrew}]",2,
alembic,"[{""name"":alembic,""pkgman"":Cargo},{""name"":alembic,""pkgman"":Conan},{""name"":alembic,""pkgman"":Homebrew},{""name"":alembic,""pkgman"":VCPKG}]",4,
nyx,"[{""name"":nyx,""pkgman"":Cargo},{""name"":nyx,""pkgman"":Homebrew}]",2,
felix,"[{""name"":felix,""pkgman"":Cargo},{""name"":felix,""pkgman"":Alire}]",2,
lxc,"[{""name"":lxc,""pkgman"":Cargo},{""name"":lxc,""pkgman"":Homebrew}]",2,
notmuch,"[{""name"":notmuch,""pkgman"":Cargo},{""name"":notmuch,""pkgman"":Homebrew},{""name"":notmuch,""pkgman"":Nimble}]",3,
tldr,"[{""name"":tldr,""pkgman"":Cargo},{""name"":tldr,""pkgman"":Chromebrew},{""name"":tldr,""pkgman"":Homebrew}]",3,
grok,"[{""name"":grok,""pkgman"":Cargo},{""name"":grok,""pkgman"":Homebrew}]",2,
cabocha,"[{""name"":cabocha,""pkgman"":Cargo},{""name"":cabocha,""pkgman"":Homebrew}]",2,
gtk,"[{""name"":gtk,""pkgman"":Cargo},{""name"":gtk,""pkgman"":Conan},{""name"":gtk,""pkgman"":VCPKG}]",3,
lci,"[{""name"":lci,""pkgman"":Cargo},{""name"":lci,""pkgman"":Homebrew}]",2,
cask,"[{""name"":cask,""pkgman"":Cargo},{""name"":cask,""pkgman"":Homebrew}]",2,
faust,"[{""name"":faust,""pkgman"":Cargo},{""name"":faust,""pkgman"":Homebrew}]",2,
kdb,"[{""name"":kdb,""pkgman"":Cargo},{""name"":kdb,""pkgman"":Nimble}]",2,
kcp,"[{""name"":kcp,""pkgman"":Cargo},{""name"":kcp,""pkgman"":Conan},{""name"":kcp,""pkgman"":VCPKG}]",3,
uuid,"[{""name"":uuid,""pkgman"":Cargo},{""name"":uuid,""pkgman"":Nimble}]",2,
gvfs,"[{""name"":gvfs,""pkgman"":Cargo},{""name"":gvfs,""pkgman"":Chromebrew}]",2,
robotparser,"[{""name"":robotparser,""pkgman"":Cargo},{""name"":robotparser,""pkgman"":Nimble}]",2,
configparser,"[{""name"":configparser,""pkgman"":Cargo},{""name"":configparser,""pkgman"":Nimble}]",2,
wumpus,"[{""name"":wumpus,""pkgman"":Cargo},{""name"":wumpus,""pkgman"":Homebrew}]",2,
flake,"[{""name"":flake,""pkgman"":Cargo},{""name"":flake,""pkgman"":Homebrew}]",2,
ffind,"[{""name"":ffind,""pkgman"":Cargo},{""name"":ffind,""pkgman"":Homebrew}]",2,
klein,"[{""name"":klein,""pkgman"":Cargo},{""name"":klein,""pkgman"":VCPKG}]",2,
xrdb,"[{""name"":xrdb,""pkgman"":Cargo},{""name"":xrdb,""pkgman"":Chromebrew}]",2,
rpl,"[{""name"":rpl,""pkgman"":Cargo},{""name"":rpl,""pkgman"":Homebrew}]",2,
uni,"[{""name"":uni,""pkgman"":Cargo},{""name"":uni,""pkgman"":Homebrew}]",2,
figlet,"[{""name"":figlet,""pkgman"":Cargo},{""name"":figlet,""pkgman"":Chromebrew},{""name"":figlet,""pkgman"":Homebrew}]",3,
sparkey,"[{""name"":sparkey,""pkgman"":Cargo},{""name"":sparkey,""pkgman"":Homebrew}]",2,
xoshiro,"[{""name"":xoshiro,""pkgman"":Cargo},{""name"":xoshiro,""pkgman"":Alire}]",2,
ktmpl,"[{""name"":ktmpl,""pkgman"":Cargo},{""name"":ktmpl,""pkgman"":Homebrew}]",2,
fio,"[{""name"":fio,""pkgman"":Cargo},{""name"":fio,""pkgman"":Homebrew}]",2,
autojump,"[{""name"":autojump,""pkgman"":Cargo},{""name"":autojump,""pkgman"":Homebrew}]",2,
fftw3,"[{""name"":fftw3,""pkgman"":Cargo},{""name"":fftw3,""pkgman"":Nimble},{""name"":fftw3,""pkgman"":VCPKG}]",3,
ffms2,"[{""name"":ffms2,""pkgman"":Cargo},{""name"":ffms2,""pkgman"":Homebrew}]",2,
nss,"[{""name"":nss,""pkgman"":Cargo},{""name"":nss,""pkgman"":Chromebrew},{""name"":nss,""pkgman"":Conan},{""name"":nss,""pkgman"":Homebrew}]",4,
opentdb,"[{""name"":opentdb,""pkgman"":Cargo},{""name"":opentdb,""pkgman"":Nimble}]",2,
gmp,"[{""name"":gmp,""pkgman"":Cargo},{""name"":gmp,""pkgman"":Chromebrew},{""name"":gmp,""pkgman"":Conan},{""name"":gmp,""pkgman"":Homebrew},{""name"":gmp,""pkgman"":Nimble},{""name"":gmp,""pkgman"":VCPKG}]",6,
dua-cli,"[{""name"":dua-cli,""pkgman"":Cargo},{""name"":dua-cli,""pkgman"":Homebrew}]",2,
hts,"[{""name"":hts,""pkgman"":Cargo},{""name"":hts,""pkgman"":Nimble}]",2,
calendar,"[{""name"":calendar,""pkgman"":Cargo},{""name"":calendar,""pkgman"":Nimble}]",2,
oxipng,"[{""name"":oxipng,""pkgman"":Cargo},{""name"":oxipng,""pkgman"":Homebrew}]",2,
butteraugli,"[{""name"":butteraugli,""pkgman"":Cargo},{""name"":butteraugli,""pkgman"":Conan},{""name"":butteraugli,""pkgman"":VCPKG}]",3,
grc,"[{""name"":grc,""pkgman"":Cargo},{""name"":grc,""pkgman"":Homebrew}]",2,
zenith,"[{""name"":zenith,""pkgman"":Cargo},{""name"":zenith,""pkgman"":Homebrew}]",2,
bencode,"[{""name"":bencode,""pkgman"":Cargo},{""name"":bencode,""pkgman"":Nimble}]",2,
hpack,"[{""name"":hpack,""pkgman"":Cargo},{""name"":hpack,""pkgman"":Homebrew},{""name"":hpack,""pkgman"":Nimble}]",3,
epub,"[{""name"":epub,""pkgman"":Cargo},{""name"":epub,""pkgman"":Nimble}]",2,
mcfly,"[{""name"":mcfly,""pkgman"":Cargo},{""name"":mcfly,""pkgman"":Homebrew}]",2,
ffsend,"[{""name"":ffsend,""pkgman"":Cargo},{""name"":ffsend,""pkgman"":Homebrew}]",2,
git,"[{""name"":git,""pkgman"":Cargo},{""name"":git,""pkgman"":Chromebrew},{""name"":git,""pkgman"":Homebrew}]",3,
cassandra,"[{""name"":cassandra,""pkgman"":Cargo},{""name"":cassandra,""pkgman"":Homebrew},{""name"":cassandra,""pkgman"":Nimble}]",3,
gdl,"[{""name"":gdl,""pkgman"":Cargo},{""name"":gdl,""pkgman"":Homebrew}]",2,
cpuid,"[{""name"":cpuid,""pkgman"":Cargo},{""name"":cpuid,""pkgman"":VCPKG}]",2,
far,"[{""name"":far,""pkgman"":Cargo},{""name"":far,""pkgman"":Chromebrew}]",2,
tidy-viewer,"[{""name"":tidy-viewer,""pkgman"":Cargo},{""name"":tidy-viewer,""pkgman"":Homebrew}]",2,
fsm,"[{""name"":fsm,""pkgman"":Cargo},{""name"":fsm,""pkgman"":Nimble}]",2,
zebra,"[{""name"":zebra,""pkgman"":Cargo},{""name"":zebra,""pkgman"":Homebrew}]",2,
fbthrift,"[{""name"":fbthrift,""pkgman"":Cargo},{""name"":fbthrift,""pkgman"":Homebrew},{""name"":fbthrift,""pkgman"":VCPKG}]",3,
rig,"[{""name"":rig,""pkgman"":Cargo},{""name"":rig,""pkgman"":Homebrew}]",2,
fastlz,"[{""name"":fastlz,""pkgman"":Cargo},{""name"":fastlz,""pkgman"":VCPKG}]",2,
kotlin,"[{""name"":kotlin,""pkgman"":Cargo},{""name"":kotlin,""pkgman"":Chromebrew},{""name"":kotlin,""pkgman"":Homebrew}]",3,
killswitch,"[{""name"":killswitch,""pkgman"":Cargo},{""name"":killswitch,""pkgman"":Homebrew}]",2,
keyutils,"[{""name"":keyutils,""pkgman"":Cargo},{""name"":keyutils,""pkgman"":Chromebrew}]",2,
kissfft,"[{""name"":kissfft,""pkgman"":Cargo},{""name"":kissfft,""pkgman"":Conan},{""name"":kissfft,""pkgman"":Nimble},{""name"":kissfft,""pkgman"":VCPKG}]",4,
ffmpeg,"[{""name"":ffmpeg,""pkgman"":Cargo},{""name"":ffmpeg,""pkgman"":Chromebrew},{""name"":ffmpeg,""pkgman"":Conan},{""name"":ffmpeg,""pkgman"":Homebrew},{""name"":ffmpeg,""pkgman"":Nimble},{""name"":ffmpeg,""pkgman"":VCPKG}]",6,
kite,"[{""name"":kite,""pkgman"":Cargo},{""name"":kite,""pkgman"":Homebrew}]",2,
knet,"[{""name"":knet,""pkgman"":Cargo},{""name"":knet,""pkgman"":VCPKG}]",2,
kickstart,"[{""name"":kickstart,""pkgman"":Cargo},{""name"":kickstart,""pkgman"":Homebrew}]",2,
fpm,"[{""name"":fpm,""pkgman"":Cargo},{""name"":fpm,""pkgman"":FPM}]",2,
ent,"[{""name"":ent,""pkgman"":Cargo},{""name"":ent,""pkgman"":Homebrew}]",2,
fae,"[{""name"":fae,""pkgman"":Cargo},{""name"":fae,""pkgman"":Nimble}]",2,
rustfmt,"[{""name"":rustfmt,""pkgman"":Cargo},{""name"":rustfmt,""pkgman"":Homebrew}]",2,
emp,"[{""name"":emp,""pkgman"":Cargo},{""name"":emp,""pkgman"":Homebrew}]",2,
eva,"[{""name"":eva,""pkgman"":Cargo},{""name"":eva,""pkgman"":Homebrew}]",2,
dmd,"[{""name"":dmd,""pkgman"":Cargo},{""name"":dmd,""pkgman"":Homebrew}]",2,
vips,"[{""name"":vips,""pkgman"":Cargo},{""name"":vips,""pkgman"":Homebrew}]",2,
dtl,"[{""name"":dtl,""pkgman"":Cargo},{""name"":dtl,""pkgman"":Conan},{""name"":dtl,""pkgman"":VCPKG}]",3,
thrust,"[{""name"":thrust,""pkgman"":Cargo},{""name"":thrust,""pkgman"":Conan}]",2,
varnish,"[{""name"":varnish,""pkgman"":Cargo},{""name"":varnish,""pkgman"":Homebrew}]",2,
threading,"[{""name"":threading,""pkgman"":Cargo},{""name"":threading,""pkgman"":Nimble}]",2,
huffman,"[{""name"":huffman,""pkgman"":Cargo},{""name"":huffman,""pkgman"":Conan},{""name"":huffman,""pkgman"":Nimble}]",3,
bear,"[{""name"":bear,""pkgman"":Cargo},{""name"":bear,""pkgman"":Homebrew}]",2,
dvm,"[{""name"":dvm,""pkgman"":Cargo},{""name"":dvm,""pkgman"":Homebrew}]",2,
dfc,"[{""name"":dfc,""pkgman"":Cargo},{""name"":dfc,""pkgman"":Chromebrew},{""name"":dfc,""pkgman"":Homebrew}]",3,
athenacli,"[{""name"":athenacli,""pkgman"":Cargo},{""name"":athenacli,""pkgman"":Homebrew}]",2,
faad2,"[{""name"":faad2,""pkgman"":Cargo},{""name"":faad2,""pkgman"":Chromebrew},{""name"":faad2,""pkgman"":Homebrew},{""name"":faad2,""pkgman"":VCPKG}]",4,
tim,"[{""name"":tim,""pkgman"":Cargo},{""name"":tim,""pkgman"":Nimble}]",2,
zabbix,"[{""name"":zabbix,""pkgman"":Cargo},{""name"":zabbix,""pkgman"":Homebrew}]",2,
gdb,"[{""name"":gdb,""pkgman"":Cargo},{""name"":gdb,""pkgman"":Chromebrew},{""name"":gdb,""pkgman"":Homebrew}]",3,
jsonnet,"[{""name"":jsonnet,""pkgman"":Cargo},{""name"":jsonnet,""pkgman"":Conan},{""name"":jsonnet,""pkgman"":Homebrew},{""name"":jsonnet,""pkgman"":VCPKG}]",4,
zmap,"[{""name"":zmap,""pkgman"":Cargo},{""name"":zmap,""pkgman"":Homebrew}]",2,
ucl,"[{""name"":ucl,""pkgman"":Cargo},{""name"":ucl,""pkgman"":Chromebrew},{""name"":ucl,""pkgman"":Homebrew}]",3,
stp,"[{""name"":stp,""pkgman"":Cargo},{""name"":stp,""pkgman"":Homebrew}]",2,
tdb,"[{""name"":tdb,""pkgman"":Cargo},{""name"":tdb,""pkgman"":Chromebrew}]",2,
keychain,"[{""name"":keychain,""pkgman"":Cargo},{""name"":keychain,""pkgman"":Chromebrew},{""name"":keychain,""pkgman"":Conan},{""name"":keychain,""pkgman"":Homebrew}]",4,
jsonc,"[{""name"":jsonc,""pkgman"":Cargo},{""name"":jsonc,""pkgman"":Chromebrew}]",2,
ki18n,"[{""name"":ki18n,""pkgman"":Cargo},{""name"":ki18n,""pkgman"":Homebrew}]",2,
expect,"[{""name"":expect,""pkgman"":Cargo},{""name"":expect,""pkgman"":Chromebrew},{""name"":expect,""pkgman"":Homebrew}]",3,
fakeit,"[{""name"":fakeit,""pkgman"":Cargo},{""name"":fakeit,""pkgman"":Conan},{""name"":fakeit,""pkgman"":VCPKG}]",3,
tpl,"[{""name"":tpl,""pkgman"":Cargo},{""name"":tpl,""pkgman"":Homebrew}]",2,
mold,"[{""name"":mold,""pkgman"":Cargo},{""name"":mold,""pkgman"":Chromebrew},{""name"":mold,""pkgman"":Homebrew}]",3,
monocypher,"[{""name"":monocypher,""pkgman"":Cargo},{""name"":monocypher,""pkgman"":Nimble}]",2,
hoedown,"[{""name"":hoedown,""pkgman"":Cargo},{""name"":hoedown,""pkgman"":Homebrew}]",2,
cpr,"[{""name"":cpr,""pkgman"":Cargo},{""name"":cpr,""pkgman"":Conan},{""name"":cpr,""pkgman"":Homebrew},{""name"":cpr,""pkgman"":VCPKG}]",4,
ctp,"[{""name"":ctp,""pkgman"":Cargo},{""name"":ctp,""pkgman"":VCPKG}]",2,
lolcat,"[{""name"":lolcat,""pkgman"":Cargo},{""name"":lolcat,""pkgman"":Homebrew},{""name"":lolcat,""pkgman"":Nimble}]",3,
ccl,"[{""name"":ccl,""pkgman"":Cargo},{""name"":ccl,""pkgman"":Chromebrew}]",2,
gnunet,"[{""name"":gnunet,""pkgman"":Cargo},{""name"":gnunet,""pkgman"":Homebrew}]",2,
scgi,"[{""name"":scgi,""pkgman"":Cargo},{""name"":scgi,""pkgman"":Nimble}]",2,
fabio,"[{""name"":fabio,""pkgman"":Cargo},{""name"":fabio,""pkgman"":Homebrew}]",2,
faiss,"[{""name"":faiss,""pkgman"":Cargo},{""name"":faiss,""pkgman"":Homebrew},{""name"":faiss,""pkgman"":VCPKG}]",3,
kalker,"[{""name"":kalker,""pkgman"":Cargo},{""name"":kalker,""pkgman"":Homebrew}]",2,
fsw,"[{""name"":fsw,""pkgman"":Cargo},{""name"":fsw,""pkgman"":Homebrew}]",2,
kerl,"[{""name"":kerl,""pkgman"":Cargo},{""name"":kerl,""pkgman"":Homebrew}]",2,
fast-float,"[{""name"":fast-float,""pkgman"":Cargo},{""name"":fast-float,""pkgman"":VCPKG}]",2,
word2vec,"[{""name"":word2vec,""pkgman"":Cargo},{""name"":word2vec,""pkgman"":Nimble}]",2,
ice,"[{""name"":ice,""pkgman"":Cargo},{""name"":ice,""pkgman"":Homebrew}]",2,
gel,"[{""name"":gel,""pkgman"":Cargo},{""name"":gel,""pkgman"":Homebrew}]",2,
nio,"[{""name"":nio,""pkgman"":Cargo},{""name"":nio,""pkgman"":Nimble}]",2,
fabric,"[{""name"":fabric,""pkgman"":Cargo},{""name"":fabric,""pkgman"":Homebrew}]",2,
exif,"[{""name"":exif,""pkgman"":Cargo},{""name"":exif,""pkgman"":Chromebrew},{""name"":exif,""pkgman"":Homebrew}]",3,
spark,"[{""name"":spark,""pkgman"":Cargo},{""name"":spark,""pkgman"":Chromebrew},{""name"":spark,""pkgman"":Homebrew}]",3,
nut,"[{""name"":nut,""pkgman"":Cargo},{""name"":nut,""pkgman"":Homebrew}]",2,
nox,"[{""name"":nox,""pkgman"":Cargo},{""name"":nox,""pkgman"":Homebrew}]",2,
ivy,"[{""name"":ivy,""pkgman"":Cargo},{""name"":ivy,""pkgman"":Homebrew}]",2,
nsq,"[{""name"":nsq,""pkgman"":Cargo},{""name"":nsq,""pkgman"":Homebrew}]",2,
tcc,"[{""name"":tcc,""pkgman"":Cargo},{""name"":tcc,""pkgman"":Homebrew}]",2,
truffle,"[{""name"":truffle,""pkgman"":Cargo},{""name"":truffle,""pkgman"":Homebrew}]",2,
act,"[{""name"":act,""pkgman"":Cargo},{""name"":act,""pkgman"":Homebrew}]",2,
box,"[{""name"":box,""pkgman"":Cargo},{""name"":box,""pkgman"":Chromebrew}]",2,
bats,"[{""name"":bats,""pkgman"":Cargo},{""name"":bats,""pkgman"":Chromebrew},{""name"":bats,""pkgman"":Homebrew}]",3,
jinx,"[{""name"":jinx,""pkgman"":Cargo},{""name"":jinx,""pkgman"":Homebrew}]",2,
clr,"[{""name"":clr,""pkgman"":Cargo},{""name"":clr,""pkgman"":Nimble}]",2,
cmp,"[{""name"":cmp,""pkgman"":Cargo},{""name"":cmp,""pkgman"":Conan}]",2,
osm,"[{""name"":osm,""pkgman"":Cargo},{""name"":osm,""pkgman"":Homebrew}]",2,
otp,"[{""name"":otp,""pkgman"":Cargo},{""name"":otp,""pkgman"":Nimble}]",2,
tor,"[{""name"":tor,""pkgman"":Cargo},{""name"":tor,""pkgman"":Homebrew},{""name"":tor,""pkgman"":Nimble}]",3,
tin,"[{""name"":tin,""pkgman"":Cargo},{""name"":tin,""pkgman"":Homebrew}]",2,
jellyfish,"[{""name"":jellyfish,""pkgman"":Cargo},{""name"":jellyfish,""pkgman"":Homebrew}]",2,
sss,"[{""name"":sss,""pkgman"":Cargo},{""name"":sss,""pkgman"":Nimble}]",2,
eris,"[{""name"":eris,""pkgman"":Cargo},{""name"":eris,""pkgman"":Nimble}]",2,
sim,"[{""name"":sim,""pkgman"":Cargo},{""name"":sim,""pkgman"":Nimble}]",2,
coz,"[{""name"":coz,""pkgman"":Cargo},{""name"":coz,""pkgman"":Conan}]",2,
jsonpp,"[{""name"":jsonpp,""pkgman"":Cargo},{""name"":jsonpp,""pkgman"":Homebrew}]",2,
srv,"[{""name"":srv,""pkgman"":Cargo},{""name"":srv,""pkgman"":Nimble}]",2,
spotifyd,"[{""name"":spotifyd,""pkgman"":Cargo},{""name"":spotifyd,""pkgman"":Homebrew}]",2,
bam,"[{""name"":bam,""pkgman"":Cargo},{""name"":bam,""pkgman"":Homebrew}]",2,
nodejs,"[{""name"":nodejs,""pkgman"":Cargo},{""name"":nodejs,""pkgman"":Conan},{""name"":nodejs,""pkgman"":Nimble}]",3,
aaa,"[{""name"":aaa,""pkgman"":Cargo},{""name"":aaa,""pkgman"":Alire}]",2,
yj,"[{""name"":yj,""pkgman"":Cargo},{""name"":yj,""pkgman"":Homebrew}]",2,
http_parser,"[{""name"":http_parser,""pkgman"":Cargo},{""name"":http_parser,""pkgman"":Conan}]",2,
gb,"[{""name"":gb,""pkgman"":Cargo},{""name"":gb,""pkgman"":Chromebrew}]",2,
mg,"[{""name"":mg,""pkgman"":Cargo},{""name"":mg,""pkgman"":Chromebrew},{""name"":mg,""pkgman"":Homebrew}]",3,
ko,"[{""name"":ko,""pkgman"":Cargo},{""name"":ko,""pkgman"":Homebrew}]",2,
frida,"[{""name"":frida,""pkgman"":Cargo},{""name"":frida,""pkgman"":Nimble}]",2,
mn,"[{""name"":mn,""pkgman"":Cargo},{""name"":mn,""pkgman"":Nimble}]",2,
wiringpi,"[{""name"":wiringpi,""pkgman"":Cargo},{""name"":wiringpi,""pkgman"":Conan}]",2,
geocoding,"[{""name"":geocoding,""pkgman"":Cargo},{""name"":geocoding,""pkgman"":Nimble}]",2,
jd,"[{""name"":jd,""pkgman"":Cargo},{""name"":jd,""pkgman"":Homebrew}]",2,
g2,"[{""name"":g2,""pkgman"":Cargo},{""name"":g2,""pkgman"":Homebrew}]",2,
opa,"[{""name"":opa,""pkgman"":Cargo},{""name"":opa,""pkgman"":Homebrew}]",2,
julia,"[{""name"":julia,""pkgman"":Cargo},{""name"":julia,""pkgman"":Chromebrew},{""name"":julia,""pkgman"":Homebrew}]",3,
vint,"[{""name"":vint,""pkgman"":Cargo},{""name"":vint,""pkgman"":Homebrew}]",2,
yad,"[{""name"":yad,""pkgman"":Cargo},{""name"":yad,""pkgman"":Chromebrew}]",2,
tuples,"[{""name"":tuples,""pkgman"":Cargo},{""name"":tuples,""pkgman"":Nimble}]",2,
tendermint,"[{""name"":tendermint,""pkgman"":Cargo},{""name"":tendermint,""pkgman"":Homebrew}]",2,
maybe,"[{""name"":maybe,""pkgman"":Cargo},{""name"":maybe,""pkgman"":Nimble}]",2,
catch,"[{""name"":catch,""pkgman"":Cargo},{""name"":catch,""pkgman"":VCPKG}]",2,
r,"[{""name"":r,""pkgman"":Cargo},{""name"":r,""pkgman"":Chromebrew},{""name"":r,""pkgman"":Homebrew}]",3,
ao,"[{""name"":ao,""pkgman"":Cargo},{""name"":ao,""pkgman"":Nimble}]",2,
ttyrec,"[{""name"":ttyrec,""pkgman"":Cargo},{""name"":ttyrec,""pkgman"":Homebrew}]",2,
bx,"[{""name"":bx,""pkgman"":Cargo},{""name"":bx,""pkgman"":Conan}]",2,
eventql,"[{""name"":eventql,""pkgman"":Cargo},{""name"":eventql,""pkgman"":Homebrew}]",2,
global,"[{""name"":global,""pkgman"":Cargo},{""name"":global,""pkgman"":Homebrew}]",2,
julius,"[{""name"":julius,""pkgman"":Cargo},{""name"":julius,""pkgman"":Homebrew}]",2,
ethtool,"[{""name"":ethtool,""pkgman"":Cargo},{""name"":ethtool,""pkgman"":Chromebrew}]",2,
json_rpc,"[{""name"":json_rpc,""pkgman"":Cargo},{""name"":json_rpc,""pkgman"":Nimble}]",2,
babel,"[{""name"":babel,""pkgman"":Cargo},{""name"":babel,""pkgman"":Homebrew}]",2,
jump,"[{""name"":jump,""pkgman"":Cargo},{""name"":jump,""pkgman"":Homebrew}]",2,
xtr,"[{""name"":xtr,""pkgman"":Cargo},{""name"":xtr,""pkgman"":Conan}]",2,
wagyu,"[{""name"":wagyu,""pkgman"":Cargo},{""name"":wagyu,""pkgman"":Homebrew}]",2,
rsvg,"[{""name"":rsvg,""pkgman"":Cargo},{""name"":rsvg,""pkgman"":Nimble}]",2,
rzip,"[{""name"":rzip,""pkgman"":Cargo},{""name"":rzip,""pkgman"":Homebrew}]",2,
jless,"[{""name"":jless,""pkgman"":Cargo},{""name"":jless,""pkgman"":Homebrew}]",2,
cryptominisat,"[{""name"":cryptominisat,""pkgman"":Cargo},{""name"":cryptominisat,""pkgman"":Homebrew}]",2,
tag,"[{""name"":tag,""pkgman"":Cargo},{""name"":tag,""pkgman"":Homebrew}]",2,
isaac,"[{""name"":isaac,""pkgman"":Cargo},{""name"":isaac,""pkgman"":Nimble}]",2,
jrnl,"[{""name"":jrnl,""pkgman"":Cargo},{""name"":jrnl,""pkgman"":Homebrew}]",2,
sam,"[{""name"":sam,""pkgman"":Cargo},{""name"":sam,""pkgman"":Nimble}]",2,
ethash,"[{""name"":ethash,""pkgman"":Cargo},{""name"":ethash,""pkgman"":Nimble}]",2,
task,"[{""name"":task,""pkgman"":Cargo},{""name"":task,""pkgman"":Homebrew}]",2,
h2o,"[{""name"":h2o,""pkgman"":Cargo},{""name"":h2o,""pkgman"":Homebrew}]",2,
src,"[{""name"":src,""pkgman"":Cargo},{""name"":src,""pkgman"":Homebrew}]",2,
watson,"[{""name"":watson,""pkgman"":Cargo},{""name"":watson,""pkgman"":Homebrew}]",2,
emojify,"[{""name"":emojify,""pkgman"":Cargo},{""name"":emojify,""pkgman"":Homebrew}]",2,
ahoy,"[{""name"":ahoy,""pkgman"":Cargo},{""name"":ahoy,""pkgman"":Homebrew}]",2,
emerald,"[{""name"":emerald,""pkgman"":Cargo},{""name"":emerald,""pkgman"":Nimble}]",2,
