:ID,pkg_name,pkgman,version,:LABEL,homepage,repo
version723homebrew,chruby,homebrew,0.3.9,Version,https://github.com/postmodern/chruby/archive/v0.3.9.tar.gz,https://github.com/postmodern/chruby#readme
version1020chromebrew,libuuid,chromebrew,1.3.0,Version,https://ftp.postgresql.org/pub/source/v10.17/postgresql-10.17.tar.bz2,https://sourceforge.net/projects/libuuid/
version1900conan,libuuid,conan,1.0.3,Version,,https://sourceforge.net/projects/libuuid/
version1021chromebrew,libbluray,chromebrew,1.3.0,Version,https://get.videolan.org/libbluray/1.3.0/libbluray-1.3.0.tar.bz2,https://www.videolan.org/developers/libbluray.html
version2787homebrew,libbluray,homebrew,1.3.1,Version,https://download.videolan.org/videolan/libbluray/1.3.1/libbluray-1.3.1.tar.bz2,https://www.videolan.org/developers/libbluray.html
version1037chromebrew,aha,chromebrew,0.5.1,Version,https://github.com/theZiz/aha/archive/0.5.1.tar.gz,https://github.com/theZiz/aha
version57homebrew,aha,homebrew,0.5.1,Version,https://github.com/theZiz/aha/archive/0.5.1.tar.gz,https://github.com/theZiz/aha
version12644448npm,aha,npm,0.1.0,Version,https://github.com/benbria/aha.js,https://github.com/benbria/aha.js
version1044chromebrew,mjpegtools,chromebrew,2.2.0,Version,https://sourceforge.net/projects/mjpeg/files/mjpegtools/2.2.0/mjpegtools-2.2.0.tar.bz2,https://mjpeg.sourceforge.io/
version3532homebrew,mjpegtools,homebrew,2.2.1,Version,https://downloads.sourceforge.net/project/mjpeg/mjpegtools/2.2.1/mjpegtools-2.2.1.tar.gz,https://mjpeg.sourceforge.io/
version1046chromebrew,atomicparsley,chromebrew,0.9.6,Version,https://bitbucket.org/wez/atomicparsley/get/0.9.6.tar.gz,https://github.com/wez/atomicparsley
version242homebrew,atomicparsley,homebrew,20210715.151551.e7ad03a,Version,https://github.com/wez/atomicparsley/archive/20210715.151551.e7ad03a.tar.gz,https://github.com/wez/atomicparsley
version1050chromebrew,freerdp,chromebrew,2.3.2,Version,https://c-ares.haxx.se/download/c-ares-1.18.1.tar.gz,https://www.freerdp.com/
version1619homebrew,freerdp,homebrew,2.7.0,Version,https://github.com/FreeRDP/FreeRDP/archive/2.7.0.tar.gz,https://www.freerdp.com/
version1056chromebrew,gedit,chromebrew,40.1,Version,https://gitlab.gnome.org/GNOME/gedit.git,https://wiki.gnome.org/Apps/Gedit
version1717homebrew,gedit,homebrew,42.0,Version,https://download.gnome.org/sources/gedit/42/gedit-42.0.tar.xz,https://wiki.gnome.org/Apps/Gedit
version2805homebrew,libcerf,homebrew,2.1,Version,https://jugit.fz-juelich.de/mlz/libcerf/-/archive/v2.1/libcerf-v2.1.tar.gz,https://jugit.fz-juelich.de/mlz/libcerf
version851vcpkg,libcerf,vcpkg,1.13,Version,,https://jugit.fz-juelich.de/mlz/libcerf
version1059conan,fribidi,conan,1.0.12,Version,,https://github.com/fribidi/fribidi
version1627homebrew,fribidi,homebrew,1.0.12,Version,https://github.com/fribidi/fribidi/releases/download/v1.0.12/fribidi-1.0.12.tar.xz,https://github.com/fribidi/fribidi
version1084chromebrew,libatomic_ops,chromebrew,7.6.10,Version,https://github.com/ivmai/libatomic_ops/releases/download/v7.6.10/libatomic_ops-7.6.10.tar.gz,https://github.com/ivmai/libatomic_ops
version1562conan,libatomic_ops,conan,7.6.12,Version,,https://github.com/ivmai/libatomic_ops
version1975conan,log4cplus,conan,2.0.7,Version,,https://github.com/log4cplus/log4cplus
version1058vcpkg,log4cplus,vcpkg,2.0.7,Version,,https://github.com/log4cplus/log4cplus
version1087chromebrew,libtasn1,chromebrew,4.17,Version,https://ftpmirror.gnu.org/libtasn1/libtasn1-4.17.0.tar.gz,https://www.gnu.org/software/libtasn1/
version3110homebrew,libtasn1,homebrew,4.18.0,Version,https://ftp.gnu.org/gnu/libtasn1/libtasn1-4.18.0.tar.gz,https://www.gnu.org/software/libtasn1/
version1872conan,libtasn1,conan,4.16.0,Version,,https://www.gnu.org/software/libtasn1/
version1111chromebrew,faac,chromebrew,1.30,Version,https://github.com/knik0/faac/archive/refs/tags/1_30.tar.gz,https://www.audiocoding.com/
version1430homebrew,faac,homebrew,1.30,Version,https://github.com/knik0/faac/archive/refs/tags/1_30.tar.gz,https://sourceforge.net/projects/faac/
version1115chromebrew,jansson,chromebrew,2.13.1,Version,https://github.com/mpv-player/mpv.git,http://www.digip.org/jansson/
version1453conan,jansson,conan,2.14,Version,,http://www.digip.org/jansson/
version1119chromebrew,neofetch,chromebrew,7.1.0-24b1,Version,https://github.com/dylanaraps/neofetch.git,https://github.com/dylanaraps/neofetch
version3753homebrew,neofetch,homebrew,7.1.0,Version,https://github.com/dylanaraps/neofetch/archive/7.1.0.tar.gz,https://github.com/dylanaraps/neofetch
version1120chromebrew,glyr,chromebrew,1.0.10,Version,https://github.com/sahib/glyr/archive/1.0.10.tar.gz,https://github.com/sahib/glyr
